Time (s),Voltage (V)
1300,2.639486048
1301,2.637488164
1302,2.63549028
1303,2.63347986
1304,2.631461078
1305,2.629442296
1306,2.62740705
1307,2.625362607
1308,2.623318163
1309,2.621257614
1310,2.619189599
1311,2.617121585
1312,2.615034862
1313,2.612941044
1314,2.610847226
1315,2.608735706
1316,2.6066188
1317,2.604501895
1318,2.602361013
1319,2.600214451
1320,2.598067888
1321,2.595897605
1322,2.593723141
1323,2.591548678
1324,2.589349312
1325,2.587146927
1326,2.584944543
1327,2.58271454
1328,2.580482575
1329,2.578250609
1330,2.575988068
1331,2.573724754
1332,2.571460892
1333,2.569165483
1334,2.566870074
1335,2.564572698
1336,2.562243858
1337,2.559915017
1338,2.557582682
1339,2.555219081
1340,2.552855479
1341,2.550486716
1342,2.548086834
1343,2.545686952
1344,2.543280121
1345,2.540842471
1346,2.538404822
1347,2.535958266
1348,2.533481157
1349,2.531004048
1350,2.528515956
1351,2.525997781
1352,2.523479606
1353,2.520947916
1354,2.518386028
1355,2.51582414
1356,2.51324643
1357,2.51063945
1358,2.50803247
1359,2.50540674
